EventId,EventTemplate,Occurrences
b3a36d95,RAS APP FATAL ciod : Error creating node map from file /home/pakin1/comms-conc/xyzt-1x1x32768x1.map : Bad address,20
b80f2820,RAS KERNEL INFO instruction cache parity error corrected,121
77d3d9df,RAS KERNEL INFO ciod : Message code 0 is not 51 or 4294967295,5
9e5da10d,RAS KERNEL INFO ciod : cpu 0 at treeaddr <*> sent unrecognized message 0xffffffff,4
12ce08bb,RAS KERNEL INFO generating <*>,8
8a87eda8,"RAS KERNEL INFO ciod : for node <*> , read continuation request but ioState is 0",3
27f8f364,RAS KERNEL FATAL data TLB error interrupt,80
8c41ad44,RAS KERNEL FATAL data storage interrupt,20
7f726d19,RAS KERNEL <*> program interrupt : <*> <*>,80
ee642ace,RAS KERNEL FATAL data store interrupt caused by <*>,30
930485c8,RAS KERNEL FATAL byte ordering exception.....................0,10
d7d9bdee,RAS KERNEL FATAL program interrupt : fp cr update.............0,10
0fecf01e,RAS KERNEL FATAL critical input interrupt enable...0,11
eb26dedf,"RAS KERNEL FATAL problem state ( 0 = sup , 1 = usr ) .......0",10
ed87804c,RAS KERNEL FATAL debug interrupt enable............0,30
fafb7aab,RAS KERNEL FATAL rts panic! - stopping execution,12
2ccb895a,RAS KERNEL FATAL floating pt ex mode 0 enable......0,9
bfe9b9eb,RAS KERNEL FATAL instruction address space.........0,20
30f2970d,RAS KERNEL FATAL disable store gathering..................0,20
d76838ba,RAS KERNEL INFO 1 torus receiver <*> input pipe error ( s ) ( dcr <*> ) detected and corrected,2
0f9a0477,"RAS KERNEL INFO CE sym <*> , at <*> , mask <*>",40
9a31c75f,RAS KERNEL INFO total of <*> ddr error ( s ) detected and corrected,33
46a1d2cd,RAS KERNEL INFO <*> tree receiver 2 in re-synch state event ( s ) ( dcr 0x019a ) detected,4
809dd76b,RAS LINKCARD INFO MidplaneSwitchController performing bit sparing on <*> bit 3,2
5b04bcbb,RAS APP FATAL ciod : LOGIN chdir ( <*> ) failed : No such file or directory,35
4697c595,RAS APP FATAL ciod : failed to read message prefix on control stream ( CioStream socket to 172.16.96.116 : <*>,10
83443b2f,RAS KERNEL INFO <*> double-hummer alignment exceptions,120
77e29210,"RAS KERNEL INFO <*> ddr errors ( s ) detected and corrected on rank 0 , symbol <*> , bit <*>",20
62d56865,RAS KERNEL INFO <*> L3 <*> error ( s ) ( dcr <*> ) detected and corrected,7
e4d06314,RAS KERNEL INFO exception syndrome register : 0x08000000,20
fc457cde,RAS KERNEL INFO floating point operation....................0,20
a052f7e6,NULL DISCOVERY ERROR Node card status : no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,24
e179bea2,NULL DISCOVERY WARNING Node card is not fully functional,32
20dd0df3,NULL DISCOVERY SEVERE Can not get assembly information for node card,24
ee555995,"NULL DISCOVERY <*> Node card VPD check : <*> node in processor card slot <*> do not match. VPD ecid <*> , found <*>",38
72f591d2,NULL HARDWARE SEVERE <*> power module <*> is not accessible,10
060e3763,NULL HARDWARE SEVERE LinkCard is not fully functional,9
9c7403ed,RAS APP FATAL ciod : Error creating node map from file /home/auselton/bgl/64mps.sequential.mapfile : Resource temporarily unavailable,20
51ddfcc8,"NULL DISCOVERY ERROR Found invalid node ecid in processor card slot <*> , ecid 0000000000000000000000000000",21
b9a9abcf,"NULL DISCOVERY INFO Node card VPD check : missing <*> node , VPD ecid <*> in processor card slot <*>",13
e6efd819,NULL DISCOVERY INFO New ido chip inserted into the database : FF : F2 : 9F : <*> : <*> : <*> : 00 : 0D : 60 : <*> : <*> : <*> ip = <*> v = <*> t = <*>,9
69602cc8,"RAS MMCS ERROR idoproxydb hit ASSERT condition : ASSERT expression = 0 Source file = idotransportmgr.cpp Source line = 1043 Function = int IdoTransportMgr : : SendPacket ( IdoUdpMgr* , BglCtlPavTrace* )",80
16f3859a,RAS KERNEL FATAL Error : unable to mount filesystem,20
0782b863,NULL DISCOVERY INFO Ido chip status changed : FF : F2 : 9F : <*> : <*> : <*> : 00 : 0D : 60 : <*> : <*> : <*> ip = <*> v = 13 t = <*> status = M Tue Aug 09 10 : 08 : 17 PDT 2005,20
94630e06,"RAS APP FATAL ciod : Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts : invalid or missing program image , Exec format error",60
e442ed8c,RAS KERNEL FATAL rts : kernel terminated for reason <*>,40
4dce5ea5,RAS KERNEL INFO ciod : generated <*> core files for program <*>,160
7fe032c1,RAS APP FATAL ciod : Error reading message prefix after <*> on CioStream socket to 172.16.96.116 : <*> : Link has been severed,33
3ea70d38,"RAS KERNEL INFO NFS Mount failed on <*> , slept <*> seconds , retrying ( 1 )",20
b638a2f7,RAS KERNEL FATAL Lustre mount FAILED : <*> : point /p/gb1,41
31cd8079,RAS KERNEL INFO critical input interrupt ( unit = 0x0b bit = <*> ) : warning for <*> <*> wire,33
a4926c5e,RAS KERNEL INFO suppressing further interrupts of same type,31
ce68fef5,RAS KERNEL INFO ddr : activating redundant bit steering : rank = 0 symbol = <*>,2
f1ed11c8,RAS KERNEL FATAL external input interrupt ( unit = 0x02 bit = 0x0e ) : torus sender z- retransmission error was corrected,1
4f22a90c,"RAS APP FATAL ciod : Error loading <*> : invalid or missing program image , No such file or directory",64
b2ac74c4,"RAS APP FATAL ciod : Error loading <*> : invalid or missing program image , Permission denied",99
