LineId,Content,EventId,EventTemplate,ParameterList
1,Update row : 509505,4765f85a,Update row : <*>,['509505']
2,Update row : 497168,4765f85a,Update row : <*>,['497168']
3,Update row : 530856,4765f85a,Update row : <*>,['530856']
4,Update row : 377933,4765f85a,Update row : <*>,['377933']
5,Update row : 11360,4765f85a,Update row : <*>,['11360']
6,Update row : 344100,4765f85a,Update row : <*>,['344100']
7,Update row : 196545,4765f85a,Update row : <*>,['196545']
8,Update row : 155155,4765f85a,Update row : <*>,['155155']
9,Update row : 457646,4765f85a,Update row : <*>,['457646']
10,Update row : 103268,4765f85a,Update row : <*>,['103268']
11,Update row : 430615,4765f85a,Update row : <*>,['430615']
12,Update row : 218470,4765f85a,Update row : <*>,['218470']
13,Update row : 368070,4765f85a,Update row : <*>,['368070']
14,Update row : 42894,4765f85a,Update row : <*>,['42894']
15,Update row : 35382,4765f85a,Update row : <*>,['35382']
16,Update row : 65837,4765f85a,Update row : <*>,['65837']
17,Update row : 30847,4765f85a,Update row : <*>,['30847']
18,Update row : 459106,4765f85a,Update row : <*>,['459106']
19,Update row : 87472,4765f85a,Update row : <*>,['87472']
20,Update row : 247636,4765f85a,Update row : <*>,['247636']
21,"INFO storage.MemoryStore : Block broadcast_5_piece289 stored as bytes in memory ( estimated size 4.0 MB , free 563.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece289', 'bytes', '4.0 MB', '563.0 MB']"
22,"INFO storage.MemoryStore : Block broadcast_5_piece344 stored as bytes in memory ( estimated size 4.0 MB , free 567.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece344', 'bytes', '4.0 MB', '567.0 MB']"
23,"INFO storage.MemoryStore : Block broadcast_5_piece151 stored as bytes in memory ( estimated size 4.0 MB , free 571.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece151', 'bytes', '4.0 MB', '571.0 MB']"
24,"INFO storage.MemoryStore : Block broadcast_5_piece198 stored as bytes in memory ( estimated size 4.0 MB , free 575.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece198', 'bytes', '4.0 MB', '575.0 MB']"
25,"INFO storage.MemoryStore : Block broadcast_5_piece285 stored as bytes in memory ( estimated size 4.0 MB , free 579.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece285', 'bytes', '4.0 MB', '579.0 MB']"
26,"INFO storage.MemoryStore : Block broadcast_5_piece248 stored as bytes in memory ( estimated size 4.0 MB , free 583.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece248', 'bytes', '4.0 MB', '583.0 MB']"
27,"INFO storage.MemoryStore : Block broadcast_5_piece75 stored as bytes in memory ( estimated size 4.0 MB , free 587.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece75', 'bytes', '4.0 MB', '587.0 MB']"
28,"INFO storage.MemoryStore : Block broadcast_5_piece131 stored as bytes in memory ( estimated size 4.0 MB , free 591.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece131', 'bytes', '4.0 MB', '591.0 MB']"
29,"INFO storage.MemoryStore : Block broadcast_5_piece260 stored as bytes in memory ( estimated size 4.0 MB , free 595.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece260', 'bytes', '4.0 MB', '595.0 MB']"
30,"INFO storage.MemoryStore : Block broadcast_5_piece215 stored as bytes in memory ( estimated size 4.0 MB , free 599.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece215', 'bytes', '4.0 MB', '599.0 MB']"
31,"INFO storage.MemoryStore : Block broadcast_5_piece337 stored as bytes in memory ( estimated size 4.0 MB , free 603.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece337', 'bytes', '4.0 MB', '603.0 MB']"
32,"INFO storage.MemoryStore : Block broadcast_5_piece8 stored as bytes in memory ( estimated size 4.0 MB , free 607.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece8', 'bytes', '4.0 MB', '607.0 MB']"
33,"INFO storage.MemoryStore : Block broadcast_5_piece191 stored as bytes in memory ( estimated size 4.0 MB , free 611.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece191', 'bytes', '4.0 MB', '611.0 MB']"
34,"INFO storage.MemoryStore : Block broadcast_5_piece297 stored as bytes in memory ( estimated size 4.0 MB , free 615.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece297', 'bytes', '4.0 MB', '615.0 MB']"
35,"INFO storage.MemoryStore : Block broadcast_5_piece243 stored as bytes in memory ( estimated size 4.0 MB , free 619.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece243', 'bytes', '4.0 MB', '619.0 MB']"
36,"INFO storage.MemoryStore : Block broadcast_5_piece186 stored as bytes in memory ( estimated size 4.0 MB , free 623.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece186', 'bytes', '4.0 MB', '623.0 MB']"
37,"INFO storage.MemoryStore : Block broadcast_5_piece64 stored as bytes in memory ( estimated size 4.0 MB , free 627.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece64', 'bytes', '4.0 MB', '627.0 MB']"
38,"INFO storage.MemoryStore : Block broadcast_5_piece29 stored as bytes in memory ( estimated size 4.0 MB , free 631.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece29', 'bytes', '4.0 MB', '631.0 MB']"
39,"INFO storage.MemoryStore : Block broadcast_5_piece156 stored as bytes in memory ( estimated size 4.0 MB , free 635.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece156', 'bytes', '4.0 MB', '635.0 MB']"
40,"INFO storage.MemoryStore : Block broadcast_5_piece72 stored as bytes in memory ( estimated size 4.0 MB , free 639.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece72', 'bytes', '4.0 MB', '639.0 MB']"
41,Update row : 254213,4765f85a,Update row : <*>,['254213']
42,Update row : 463225,4765f85a,Update row : <*>,['463225']
43,Update row : 167990,4765f85a,Update row : <*>,['167990']
44,Update row : 100013,4765f85a,Update row : <*>,['100013']
45,Update row : 302573,4765f85a,Update row : <*>,['302573']
46,Update row : 271622,4765f85a,Update row : <*>,['271622']
47,Update row : 151489,4765f85a,Update row : <*>,['151489']
48,Update row : 417119,4765f85a,Update row : <*>,['417119']
49,Update row : 343938,4765f85a,Update row : <*>,['343938']
50,Update row : 348269,4765f85a,Update row : <*>,['348269']
51,Update row : 134043,4765f85a,Update row : <*>,['134043']
52,Update row : 180060,4765f85a,Update row : <*>,['180060']
53,Update row : 58013,4765f85a,Update row : <*>,['58013']
54,Update row : 319107,4765f85a,Update row : <*>,['319107']
55,Update row : 382930,4765f85a,Update row : <*>,['382930']
56,Update row : 281316,4765f85a,Update row : <*>,['281316']
57,Update row : 518598,4765f85a,Update row : <*>,['518598']
58,Update row : 288752,4765f85a,Update row : <*>,['288752']
59,Update row : 469734,4765f85a,Update row : <*>,['469734']
60,Update row : 49906,4765f85a,Update row : <*>,['49906']
61,"INFO MemoryStore : Block broadcast_4_piece225 stored as bytes in memory ( estimated size 4.0 MB , free 904.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece225', '904.2 MB']"
62,"INFO BlockManagerInfo : Added broadcast_4_piece225 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece225', '10.10.34.37', '48910', '4.0', '35.6']"
63,"INFO MemoryStore : Block broadcast_4_piece226 stored as bytes in memory ( estimated size 4.0 MB , free 908.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece226', '908.2 MB']"
64,"INFO BlockManagerInfo : Added broadcast_4_piece226 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece226', '10.10.34.37', '48910', '4.0', '35.6']"
65,"INFO MemoryStore : Block broadcast_4_piece227 stored as bytes in memory ( estimated size 4.0 MB , free 912.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece227', '912.2 MB']"
66,"INFO BlockManagerInfo : Added broadcast_4_piece227 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece227', '10.10.34.37', '48910', '4.0', '35.6']"
67,"INFO MemoryStore : Block broadcast_4_piece228 stored as bytes in memory ( estimated size 4.0 MB , free 916.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece228', '916.2 MB']"
68,"INFO BlockManagerInfo : Added broadcast_4_piece228 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece228', '10.10.34.37', '48910', '4.0', '35.6']"
69,"INFO MemoryStore : Block broadcast_4_piece229 stored as bytes in memory ( estimated size 4.0 MB , free 920.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece229', '920.2 MB']"
70,"INFO BlockManagerInfo : Added broadcast_4_piece229 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.5 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece229', '10.10.34.37', '48910', '4.0', '35.5']"
71,"INFO MemoryStore : Block broadcast_4_piece230 stored as bytes in memory ( estimated size 4.0 MB , free 924.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece230', '924.2 MB']"
72,"INFO BlockManagerInfo : Added broadcast_4_piece230 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.5 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece230', '10.10.34.37', '48910', '4.0', '35.5']"
73,"INFO MemoryStore : Block broadcast_4_piece231 stored as bytes in memory ( estimated size 4.0 MB , free 928.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece231', '928.2 MB']"
