LineId,Content,EventId,EventTemplate,ParameterList
1,"03-17 16:13:38.811  1702  2395 D WindowManager: printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",814a8bdc,"03-17 16:13:38.811 1702 2395 D WindowManager: printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",[]
2,"03-17 16:13:38.819  1702  8671 D PowerManagerService: acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",48e6e977,"03-17 16:13:38.819 1702 8671 D PowerManagerService: acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",[]
3,"03-17 16:13:38.820  1702  8671 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",98e9a197,03-17 <*> 1702 <*> D PowerManagerService: <*>,"['16:13:38.820', '8671', 'ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0']"
4,03-17 16:13:38.839  1702  2113 V WindowManager: Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,65f089eb,03-17 <*> 1702 <*> V WindowManager: Skipping <*> <*> <*> u0 <*> t761}}} -- going to hide,"['16:13:38.839', '2113', 'AppWindowToken{df0798e', 'token=Token{78af589 ActivityRecord{3b04890', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity']"
5,03-17 16:13:38.859  2227  2227 D TextView: visible is system.time.showampm,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.859', 'visible', 'system.time.showampm']"
6,03-17 16:13:38.861  2227  2227 D TextView: mVisiblity.getValue is false,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.861', 'mVisiblity.getValue', 'false']"
7,03-17 16:13:38.869  2227  2227 D TextView: visible is system.charge.show,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.869', 'visible', 'system.charge.show']"
8,03-17 16:13:38.871  2227  2227 D TextView: mVisiblity.getValue is false,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.871', 'mVisiblity.getValue', 'false']"
9,03-17 16:13:38.875  2227  2227 D TextView: visible is system.call.count gt 0,a5b83fbe,03-17 <*> 2227 2227 D TextView: visible is <*> gt 0,"['16:13:38.875', 'system.call.count']"
10,03-17 16:13:38.877  2227  2227 D TextView: mVisiblity.getValue is false,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.877', 'mVisiblity.getValue', 'false']"
11,03-17 16:13:38.881  2227  2227 D TextView: visible is system.message.count gt 0,a5b83fbe,03-17 <*> 2227 2227 D TextView: visible is <*> gt 0,"['16:13:38.881', 'system.message.count']"
12,03-17 16:13:38.882  2227  2227 D TextView: mVisiblity.getValue is false,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.882', 'mVisiblity.getValue', 'false']"
13,03-17 16:13:38.887  2227  2227 D TextView: visible is system.ownerinfo.show,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.887', 'visible', 'system.ownerinfo.show']"
14,03-17 16:13:38.888  2227  2227 D TextView: mVisiblity.getValue is false,65a3686d,03-17 <*> 2227 2227 D TextView: <*> is <*>,"['16:13:38.888', 'mVisiblity.getValue', 'false']"
15,"03-17 16:13:38.905  1702 10454 D PowerManagerService: release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",6baef028,"03-17 16:13:38.905 1702 10454 D PowerManagerService: release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",[]
16,"03-17 16:13:38.907  1702 10454 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",98e9a197,03-17 <*> 1702 <*> D PowerManagerService: <*>,"['16:13:38.907', '10454', 'ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0']"
17,03-17 16:13:38.915  1702  3693 V WindowManager: Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,65f089eb,03-17 <*> 1702 <*> V WindowManager: Skipping <*> <*> <*> u0 <*> t761}}} -- going to hide,"['16:13:38.915', '3693', 'AppWindowToken{df0798e', 'token=Token{78af589 ActivityRecord{3b04890', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity']"
18,"03-17 16:13:38.928  2227  2227 I StackScrollAlgorithm: updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",20316953,"03-17 <*> 2227 2227 I StackScrollAlgorithm: updateClipping <*> getTopPadding=333.0, <*>","['16:13:38.928', 'isOverlap:false,', 'Translation=-24.0']"
19,03-17 16:13:38.928  2227  2227 I StackScrollAlgorithm: updateDimmedActivatedHideSensitive overlap:false,00c4364d,03-17 <*> 2227 2227 I <*> <*> <*>,"['16:13:38.928', 'StackScrollAlgorithm:', 'updateDimmedActivatedHideSensitive overlap:false']"
20,03-17 16:13:38.935  1702  3697 W ActivityManager: getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,c4dfc808,03-17 <*> 1702 <*> W ActivityManager: <*> caller <*> does not hold REAL_GET_TASKS; limiting output,"['16:13:38.935', '3697', 'getRunningAppProcesses:', '10113']"
