EventId,EventTemplate,Occurrences
c836ca66,- proxy.cse.cuhk.edu.hk : 5070 open through proxy proxy.cse.cuhk.edu.hk : 5070 HTTPS,733
30d389aa,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes sent , <*> bytes received , lifetime <1 sec",94
468eebd5,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> KB ) received , lifetime <1 sec",50
0b423844,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes <*> <*> <*> <*> <*> <*> <*> <*> received , lifetime <1 sec",116
dd18aa7d,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes sent , <*> bytes received , lifetime <*> : <*>",91
1c0d5fc1,- tcpconn.tencent.com : <*> open through proxy proxy.cse.cuhk.edu.hk : 5070 HTTPS,4
ff796a2d,"- tcpconn.tencent.com : <*> close , 0 bytes sent , 0 bytes received , lifetime <1 sec",4
b69f64d6,- <*> : <*> open through proxy <*> : <*> <*>,52
b12c01b0,"- <*> : <*> close , <*> bytes sent , <*> bytes received , lifetime <1 sec",18
2f8826fa,- <*> : <*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk : 5070 - Proxy closed the connection unexpectedly.,5
b62a7eec,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> <*> ) received , lifetime <*> : <*>",199
e68cec81,"- proxy.cse.cuhk.edu.hk : 5070 close , <*> bytes <*> <*> <*> <*> <*> <*> <*> <*> received , lifetime <*> : <*>",109
a9571191,*64 - <*> : <*> open through proxy proxy.cse.cuhk.edu.hk : 5070 HTTPS,213
3f98b1e3,"- <*> : <*> close , <*> bytes sent , <*> bytes received , lifetime <*> : <*>",17
41281506,"- proxy.cse.cuhk.edu.hk : 5070 close , 41333 bytes ( 40.3 KB ) sent , 36763 bytes ( 35.9 KB ) received , lifetime 01 : 12 : 11",1
ad90ccb5,"- www.dropbox.com : 443 close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> KB ) received , lifetime 01 : 00",3
45183716,"- qqmail.tencent.com : 12000 error : Could not connect through proxy proxy.cse.cuhk.edu.hk : 5070 - Proxy server cannot establish a connection with the target , status code 403",1
30ec8f77,"- qqmail.tencent.com : 80 close , 336 bytes sent , 2854 bytes ( 2.78 KB ) received , lifetime 00 : 01",1
1bda8227,- long.weixin.qq.com : 443 error : A connection request was canceled before the completion.,1
bba1be00,"*64 - <*> : <*> close , <*> bytes sent , <*> bytes received , lifetime <1 sec",17
826a963c,"- cidian.youdao.com : 80 close , 2877 bytes ( 2.80 KB ) sent , 912 bytes received , lifetime 00 : 32",1
5f0c1b2f,- shared.ydstatic.com : 80 error : A connection request was canceled before the completion.,2
20411488,- <*> : <*> error : A connection request was canceled before the completion.,63
dc1408d9,"- <*> : <*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk : 5070 - Proxy server cannot establish a connection with the target , status code 403",14
4797880b,"- <*> : <*> close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> KB ) received , lifetime <*> : <*>",10
e95ff9be,"- <*> : <*> close , <*> bytes sent , <*> bytes ( <*> KB ) received , lifetime <*> : <*>",8
a1523095,"*64 - <*> : <*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk : 5070 - Proxy server cannot establish a connection with the target , status code 403",9
cc2401b2,"- dns.weixin.qq.com : 443 close , 357 bytes sent , 3481 bytes ( 3.39 KB ) received , lifetime <1 sec",1
aad3c4f0,"*64 - <*> : <*> close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> <*> ) received , lifetime <*> : <*>",55
8b8b60b5,"*64 - <*> : <*> close , <*> bytes ( <*> KB ) sent , <*> bytes received , lifetime <*> : <*>",31
31eb63f5,"*64 - <*> : <*> close , <*> bytes sent , <*> bytes received , lifetime <*> : <*>",27
9013427b,"*64 - <*> : <*> close , <*> bytes sent , <*> bytes ( <*> KB ) received , lifetime <1 sec",10
d4698736,*64 - hm.baidu.com : 443 error : A connection request was canceled before the completion.,3
362415a0,"*64 - <*> : <*> close , <*> bytes sent , <*> bytes ( <*> KB ) received , lifetime <*> : <*>",19
0585319f,- <*> : <*> error : Could not connect to proxy proxy.cse.cuhk.edu.hk : 5070 - Could not resolve proxy.cse.cuhk.edu.hk error 11001,14
0640873c,*64 - wpad : 80 error : Could not connect to proxy proxy.cse.cuhk.edu.hk : 5070 - Could not resolve proxy.cse.cuhk.edu.hk error 11001,1
f065e064,"*64 - manhua.163.com : 443 close , <*> bytes ( <*> KB ) sent , <*> bytes ( <*> KB ) received , lifetime <1 sec",3
