LineId,Content,EventId,EventTemplate,ParameterList
1,WARN Send worker leaving thread,43efcc37,WARN Send worker leaving thread,[]
2,INFO Received connection request /10.10.34.11 : 45328,6a611e72,INFO Received connection request <*> : <*>,"['/10.10.34.11', '45328']"
3,"WARN Connection broken for id 188978561024 , my id = 1 , error =",adec9aac,"WARN Connection broken for id 188978561024 , my id = <*> , error =",['1']
4,WARN Interrupting SendWorker,a6fada62,WARN Interrupting SendWorker,[]
5,WARN Interrupted while waiting for message on queue,6d4370a3,WARN Interrupted while waiting for message on queue,[]
6,WARN Send worker leaving thread,43efcc37,WARN Send worker leaving thread,[]
7,INFO Received connection request /10.10.34.11 : 45329,6a611e72,INFO Received connection request <*> : <*>,"['/10.10.34.11', '45329']"
8,"WARN Connection broken for id 188978561024 , my id = 1 , error =",adec9aac,"WARN Connection broken for id 188978561024 , my id = <*> , error =",['1']
9,WARN Interrupting SendWorker,a6fada62,WARN Interrupting SendWorker,[]
10,WARN Interrupted while waiting for message on queue,6d4370a3,WARN Interrupted while waiting for message on queue,[]
11,WARN Send worker leaving thread,43efcc37,WARN Send worker leaving thread,[]
12,INFO Received connection request /10.10.34.11 : 45336,6a611e72,INFO Received connection request <*> : <*>,"['/10.10.34.11', '45336']"
13,INFO Received connection request /10.10.34.11 : 45338,6a611e72,INFO Received connection request <*> : <*>,"['/10.10.34.11', '45338']"
14,WARN Interrupted while waiting for message on queue,6d4370a3,WARN Interrupted while waiting for message on queue,[]
15,"WARN Connection broken for id 188978561024 , my id = 1 , error =",adec9aac,"WARN Connection broken for id 188978561024 , my id = <*> , error =",['1']
16,WARN Interrupting SendWorker,a6fada62,WARN Interrupting SendWorker,[]
17,WARN Send worker leaving thread,43efcc37,WARN Send worker leaving thread,[]
18,"WARN Connection broken for id 188978561024 , my id = 1 , error =",adec9aac,"WARN Connection broken for id 188978561024 , my id = <*> , error =",['1']
19,WARN Interrupting SendWorker,a6fada62,WARN Interrupting SendWorker,[]
20,WARN Interrupted while waiting for message on queue,6d4370a3,WARN Interrupted while waiting for message on queue,[]
21,INFO Accepted socket connection from /10.10.34.11 : 49242,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.11', '49242']"
22,WARN Connection request from old client /10.10.34.11 : 49242 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.11', '49242']"
23,INFO Client attempting to establish new session at /10.10.34.11 : 49242,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.11', '49242']"
24,INFO Accepted socket connection from /10.10.34.11 : 49244,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.11', '49244']"
25,WARN Connection request from old client /10.10.34.11 : 49244 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.11', '49244']"
26,INFO Client attempting to establish new session at /10.10.34.11 : 49244,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.11', '49244']"
27,INFO Established session 0x14ed93111f20037 with negotiated timeout 10000 for client /10.10.34.11 : 49242,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f20037', '10000', '/10.10.34.11', '49242']"
28,INFO Established session 0x14ed93111f20038 with negotiated timeout 10000 for client /10.10.34.11 : 49244,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f20038', '10000', '/10.10.34.11', '49244']"
29,INFO Accepted socket connection from /10.10.34.13 : 37196,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.13', '37196']"
30,WARN Connection request from old client /10.10.34.13 : 37196 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.13', '37196']"
31,INFO Client attempting to establish new session at /10.10.34.13 : 37196,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.13', '37196']"
32,INFO Established session 0x14ed93111f20039 with negotiated timeout 10000 for client /10.10.34.13 : 37196,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f20039', '10000', '/10.10.34.13', '37196']"
33,INFO Accepted socket connection from /10.10.34.12 : 45605,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.12', '45605']"
34,WARN Connection request from old client /10.10.34.12 : 45605 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.12', '45605']"
35,INFO Client attempting to establish new session at /10.10.34.12 : 45605,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.12', '45605']"
36,INFO Established session 0x14ed93111f2003a with negotiated timeout 10000 for client /10.10.34.12 : 45605,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f2003a', '10000', '/10.10.34.12', '45605']"
37,INFO Accepted socket connection from /10.10.34.13 : 37199,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.13', '37199']"
38,WARN Connection request from old client /10.10.34.13 : 37199 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.13', '37199']"
39,INFO Client attempting to establish new session at /10.10.34.13 : 37199,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.13', '37199']"
40,INFO Established session 0x14ed93111f2003b with negotiated timeout 10000 for client /10.10.34.13 : 37199,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f2003b', '10000', '/10.10.34.13', '37199']"
41,INFO Closed socket connection for client /10.10.34.11 : 50283 which had sessionid 0x14ed93111f2007f,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '50283', '0x14ed93111f2007f']"
42,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
43,INFO Closed socket connection for client /10.10.34.11 : 50286 which had sessionid 0x14ed93111f20080,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '50286', '0x14ed93111f20080']"
44,INFO Accepted socket connection from /10.10.34.11 : 50299,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.11', '50299']"
45,WARN Connection request from old client /10.10.34.11 : 50299 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.11', '50299']"
46,INFO Client attempting to establish new session at /10.10.34.11 : 50299,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.11', '50299']"
47,INFO Established session 0x14ed93111f20081 with negotiated timeout 20000 for client /10.10.34.11 : 50299,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f20081', '20000', '/10.10.34.11', '50299']"
48,INFO Accepted socket connection from /10.10.34.11 : 50301,da32e978,INFO Accepted socket connection from <*> : <*>,"['/10.10.34.11', '50301']"
49,WARN Connection request from old client /10.10.34.11 : 50301 ; will be dropped if server is in r-o mode,f7055886,WARN Connection request from old client <*> : <*> ; will be dropped if server is in r-o mode,"['/10.10.34.11', '50301']"
50,INFO Client attempting to establish new session at /10.10.34.11 : 50301,25b24862,INFO Client attempting to <*> <*> <*> at <*> : <*>,"['establish', 'new session', '/10.10.34.11', '50301']"
51,INFO Established session 0x14ed93111f20082 with negotiated timeout 10000 for client /10.10.34.11 : 50301,52f551a0,INFO Established session <*> with negotiated timeout <*> for client <*> : <*>,"['0x14ed93111f20082', '10000', '/10.10.34.11', '50301']"
52,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
53,INFO Closed socket connection for client /10.10.34.11 : 50299 which had sessionid 0x14ed93111f20081,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '50299', '0x14ed93111f20081']"
54,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
55,INFO Closed socket connection for client /10.10.34.11 : 50301 which had sessionid 0x14ed93111f20082,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '50301', '0x14ed93111f20082']"
56,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
57,INFO Closed socket connection for client /10.10.34.11 : 50276 which had sessionid 0x14ed93111f2007c,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '50276', '0x14ed93111f2007c']"
58,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
59,INFO Closed socket connection for client /10.10.34.12 : 45638 which had sessionid 0x14ed93111f2007d,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.12', '45638', '0x14ed93111f2007d']"
60,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
61,INFO Closed socket connection for client /10.10.34.11 : 52893 which had sessionid 0x14ed93111f2009b,a46fe0af,INFO Closed socket connection for client <*> : <*> which had sessionid <*>,"['/10.10.34.11', '52893', '0x14ed93111f2009b']"
62,WARN caught end of stream exception,dc800d8a,WARN caught end of stream exception,[]
