EventId,EventTemplate,Occurrences
b3a36d95,RAS APP FATAL ciod : Error creating node map from file /home/pakin1/comms-conc/xyzt-1x1x32768x1.map : Bad address,4
43708b7d,RAS KERNEL INFO <*> <*> <*> <*> <*>,31
4fb0301e,RAS KERNEL INFO ciod : cpu 0 at treeaddr 8717 sent unrecognized message 0xffffffff,1
c292f710,RAS KERNEL INFO generating core.3869,1
77d3d9df,RAS KERNEL INFO ciod : Message code 0 is not 51 or 4294967295,1
8a87eda8,"RAS KERNEL INFO ciod : for node <*> , read continuation request but ioState is 0",2
ffd19bff,RAS KERNEL FATAL <*> <*> <*> <*>,21
5df8c886,RAS KERNEL <*> <*> <*> <*>,24
04137707,RAS KERNEL FATAL <*> <*> <*> <*> <*>,10
737b9716,RAS KERNEL FATAL <*> <*> <*> <*> <*> <*>,13
eb26dedf,"RAS KERNEL FATAL problem state ( 0 = sup , 1 = usr ) .......0",4
0f9a0477,"RAS KERNEL INFO CE sym <*> , at <*> , mask <*>",10
9a31c75f,RAS KERNEL INFO total of <*> ddr error ( s ) detected and corrected,11
32709031,RAS LINKCARD INFO MidplaneSwitchController performing bit sparing on R33-M1-L0-U22-C bit 3,1
4697c595,RAS APP FATAL ciod : failed to read message prefix on control stream ( CioStream socket to 172.16.96.116 : <*>,2
83443b2f,RAS KERNEL INFO <*> double-hummer alignment exceptions,21
9f7ff3ff,"RAS KERNEL INFO 1 ddr errors ( s ) detected and corrected on rank 0 , symbol <*> , bit <*>",7
e179bea2,NULL DISCOVERY WARNING Node card is not fully functional,6
a052f7e6,NULL DISCOVERY ERROR Node card status : no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,2
a9544d60,NULL HARDWARE SEVERE LinkCard power module U58 is not accessible,5
9c7403ed,RAS APP FATAL ciod : Error creating node map from file /home/auselton/bgl/64mps.sequential.mapfile : Resource temporarily unavailable,2
3d20b5c4,"NULL DISCOVERY INFO Node card VPD check : <*> node in processor card slot <*> do not match. VPD ecid <*> , found <*>",7
51ddfcc8,"NULL DISCOVERY ERROR Found invalid node ecid in processor card slot <*> , ecid 0000000000000000000000000000",3
55a9b51c,"NULL DISCOVERY INFO Node card VPD check : missing U01 node , VPD ecid <*> in processor card slot <*>",2
8b441cc3,NULL DISCOVERY INFO New ido chip inserted into the database : FF : F2 : 9F : 15 : 7E : 3C : 00 : 0D : 60 : EA : 81 : C3 ip = 10.0.0.156 v = 13 t = 1,1
69602cc8,"RAS MMCS ERROR idoproxydb hit ASSERT condition : ASSERT expression = 0 Source file = idotransportmgr.cpp Source line = 1043 Function = int IdoTransportMgr : : SendPacket ( IdoUdpMgr* , BglCtlPavTrace* )",15
20dd0df3,NULL DISCOVERY SEVERE Can not get assembly information for node card,4
0782b863,NULL DISCOVERY INFO Ido chip status changed : FF : F2 : 9F : <*> : <*> : <*> : 00 : 0D : 60 : <*> : <*> : <*> ip = <*> v = 13 t = <*> status = M Tue Aug 09 10 : 08 : 17 PDT 2005,5
94630e06,"RAS APP FATAL ciod : Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts : invalid or missing program image , Exec format error",10
e442ed8c,RAS KERNEL FATAL rts : kernel terminated for reason <*>,11
4dce5ea5,RAS KERNEL INFO ciod : generated <*> core files for program <*>,37
7fe032c1,RAS APP FATAL ciod : Error reading message prefix after <*> on CioStream socket to 172.16.96.116 : <*> : Link has been severed,8
5b04bcbb,RAS APP FATAL ciod : LOGIN chdir ( <*> ) failed : No such file or directory,7
3ea70d38,"RAS KERNEL INFO NFS Mount failed on <*> , slept <*> seconds , retrying ( 1 )",5
cb2d5143,RAS KERNEL INFO ddr : activating redundant bit steering : rank = 0 symbol = 16,1
b638a2f7,RAS KERNEL FATAL Lustre mount FAILED : <*> : point /p/gb1,7
4f22a90c,"RAS APP FATAL ciod : Error loading <*> : invalid or missing program image , No such file or directory",15
b2ac74c4,"RAS APP FATAL ciod : Error loading <*> : invalid or missing program image , Permission denied",21
64ba65f9,RAS KERNEL INFO critical input interrupt ( unit = 0x0b bit = <*> ) : warning for torus <*> wire,2
a4926c5e,RAS KERNEL INFO suppressing further interrupts of same type,2
f043e2ae,RAS KERNEL INFO 1 L3 directory error ( s ) ( dcr 0x0152 ) detected and corrected,2
ca6eb1ae,RAS KERNEL INFO 1 torus receiver y+ input pipe error ( s ) ( dcr 0x02ee ) detected and corrected over 43 seconds,2
446091c3,RAS KERNEL INFO <*> torus sender y+ retransmission error ( s ) ( dcr 0x02f6 ) detected and corrected over <*> seconds,2
03c97ee4,"RAS KERNEL INFO ciod : Received signal 15 , code = 0 , errno = 0 , address = <*>",7
9667401f,"RAS APP FATAL ciod : Error reading message prefix on CioStream socket to 172.16.96.116 : <*> , Link has been severed",8
4ff20c54,RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,8
0737a540,"RAS KERNEL INFO <*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts , 0 microseconds max time in a critical input interrupt.",12
1eedadca,"RAS KERNEL INFO Kernel detected <*> integer alignment exceptions ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*> ( <*> ) iar <*> , dear <*>",11
52db42e5,RAS KERNEL INFO ciod : pollControlDescriptors : Detected the debugger died.,6
