LineId,Content,EventId,EventTemplate,ParameterList
1,unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2958 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1084631134', '2958']"
2,unix.hw state_change.unavailable 1084631133 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 41 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1084631133', '41']"
3,unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3238 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1084631088', '3238']"
4,unix.hw state_change.unavailable 1085748993 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 4432 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1085748993', '4432']"
5,unix.hw state_change.unavailable 1085748993 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2748 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1085748993', '2748']"
6,unix.hw state_change.unavailable 1085748993 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2538 ),a307c527,unix.hw state_change.unavailable <*> 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = <*> ),"['1085748993', '2538']"
7,boot_cmd success 1077810607 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1077810607']
8,boot_cmd success 1077810662 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1077810662']
9,boot_cmd success 1077810689 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1077810689']
10,boot_cmd success 1077816985 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1077816985']
11,boot_cmd success 1112720274 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1112720274']
12,boot_cmd success 1112718533 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1112718533']
13,boot_cmd success 1113189261 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1113189261']
14,boot_cmd success 1114095833 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1114095833']
15,boot_cmd success 1114095834 1 Command has completed successfully,ef0c9f0e,boot_cmd success <*> 1 Command has completed successfully,['1114095834']
16,boot_cmd new 1077346152 1 Targeting domains : node-D0 and nodes : node-4,64116bd5,boot_cmd new <*> 1 Targeting domains : <*> and nodes : <*>,"['1077346152', 'node-D0', 'node-4']"
17,boot_cmd new 1077739228 1 Targeting domains : node-D6 and nodes : node- [ 200-223 ] child of command 2293,c0235d42,boot_cmd new <*> 1 Targeting domains : <*> and nodes : node- [ <*> ] child of command <*>,"['1077739228', 'node-D6', '200-223', '2293']"
18,boot_cmd new 1077739195 1 Targeting domains : node-D3 and nodes : node- [ 96-103 ] child of command 2290,c0235d42,boot_cmd new <*> 1 Targeting domains : <*> and nodes : node- [ <*> ] child of command <*>,"['1077739195', 'node-D3', '96-103', '2290']"
19,boot_cmd new 1077739185 1 Targeting domains : node-D2 and nodes : node- [ 64-71 ] child of command 2289,c0235d42,boot_cmd new <*> 1 Targeting domains : <*> and nodes : node- [ <*> ] child of command <*>,"['1077739185', 'node-D2', '64-71', '2289']"
20,boot_cmd new 1077739185 1 Targeting domains : node-D2 and nodes : node- [ 72-95 ] child of command 2289,c0235d42,boot_cmd new <*> 1 Targeting domains : <*> and nodes : node- [ <*> ] child of command <*>,"['1077739185', 'node-D2', '72-95', '2289']"
21,boot_cmd new 1097179722 1 Targeting domains : node-D0 and nodes : node-9,64116bd5,boot_cmd new <*> 1 Targeting domains : <*> and nodes : <*>,"['1097179722', 'node-D0', 'node-9']"
22,shutdown_cmd new 1142544749 1 Targeting domains : node-D4 and nodes : node-129,ac58979f,shutdown_cmd new 1142544749 1 Targeting domains : node-D4 and nodes : node-129,[]
23,boot_cmd new 1143690617 1 Targeting domains : node-D3 and nodes : node-108,64116bd5,boot_cmd new <*> 1 Targeting domains : <*> and nodes : <*>,"['1143690617', 'node-D3', 'node-108']"
24,boot_cmd new 1144770973 1 Targeting domains : node-D2 and nodes : node-80,64116bd5,boot_cmd new <*> 1 Targeting domains : <*> and nodes : <*>,"['1144770973', 'node-D2', 'node-80']"
25,switch_module temphigh 1111832460 1 Temperature ( 43C ) exceeds warning threshold,4cc328bc,switch_module temphigh <*> 1 Temperature ( <*> ) exceeds warning threshold,"['1111832460', '43C']"
26,switch_module temphigh 1111832430 1 Temperature ( 41C ) exceeds warning threshold,4cc328bc,switch_module temphigh <*> 1 Temperature ( <*> ) exceeds warning threshold,"['1111832430', '41C']"
27,unix.hw net.niff.down 1084271026 1 NIFF : node node-89 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1084271026', 'node-89']"
28,unix.hw net.niff.down 1084271026 1 NIFF : node node-65 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1084271026', 'node-65']"
29,unix.hw net.niff.down 1084271026 1 NIFF : node node-58 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1084271026', 'node-58']"
30,unix.hw net.niff.down 1084271026 1 NIFF : node node-41 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1084271026', 'node-41']"
31,unix.hw net.niff.down 1084271026 1 NIFF : node node-73 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1084271026', 'node-73']"
32,unix.hw net.niff.down 1144239524 1 NIFF : node node-89 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239524', 'node-89']"
33,unix.hw net.niff.down 1144239524 1 NIFF : node node-86 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239524', 'node-86']"
34,unix.hw net.niff.down 1144239524 1 NIFF : node node-71 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239524', 'node-71']"
35,unix.hw net.niff.down 1144239522 1 NIFF : node node-72 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239522', 'node-72']"
36,unix.hw net.niff.down 1144239521 1 NIFF : node node-81 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239521', 'node-81']"
37,unix.hw net.niff.down 1144239521 1 NIFF : node node-87 detected a failed network connection on network 5.5.224.0 via interface alt0,520ee170,unix.hw net.niff.down <*> 1 NIFF : node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,"['1144239521', 'node-87']"
38,switch_module fan 1121579653 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121579653', '3552', '**** 3515']"
39,switch_module fan 1121579631 1 Fan speeds ( 3552 3534 3375 4500 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121579631', '3552', '4500 3515']"
40,switch_module fan 1121579583 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121579583', '3552', '**** 3515']"
41,switch_module fan 1121377847 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121377847', '3552', '**** 3515']"
42,switch_module fan 1121377625 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121377625', '3552', '**** 3515']"
43,switch_module fan 1121377536 1 Fan speeds ( 3552 3534 3375 4141 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1121377536', '3552', '4141 3515']"
44,switch_module fan 1125827677 1 Fan speeds ( 3552 3534 3375 4500 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125827677', '3552', '4500 3515']"
45,switch_module fan 1125827629 1 Fan speeds ( 3552 3534 3375 6308 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125827629', '3552', '6308 3515']"
46,switch_module fan 1125827446 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125827446', '3552', '**** 3515']"
47,switch_module fan 1125827403 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125827403', '3552', '**** 3515']"
48,switch_module fan 1125706107 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125706107', '3552', '**** 3515']"
49,switch_module fan 1125706090 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125706090', '3552', '**** 3515']"
50,switch_module fan 1125706042 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1125706042', '3552', '**** 3515']"
51,switch_module fan 1143980782 1 Fan speeds ( 3534 3534 3375 **** 3497 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1143980782', '3534', '**** 3497']"
52,switch_module fan 1143980755 1 Fan speeds ( 3534 3534 3375 **** 3497 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1143980755', '3534', '**** 3497']"
53,switch_module fan 1143980712 1 Fan speeds ( 3534 3534 3375 **** 3497 3479 ),53db716f,switch_module fan <*> 1 Fan speeds ( <*> 3534 3375 <*> <*> 3479 ),"['1143980712', '3534', '**** 3497']"
