LineId,Content,EventId,EventTemplate,ParameterList
1,Update row : 42894,4765f85a,Update row : <*>,['42894']
2,Update row : 459106,4765f85a,Update row : <*>,['459106']
3,Update row : 87472,4765f85a,Update row : <*>,['87472']
4,"INFO storage.MemoryStore : Block broadcast_5_piece285 stored as bytes in memory ( estimated size 4.0 MB , free 579.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece285', 'bytes', '4.0 MB', '579.0 MB']"
5,"INFO storage.MemoryStore : Block broadcast_5_piece8 stored as bytes in memory ( estimated size 4.0 MB , free 607.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece8', 'bytes', '4.0 MB', '607.0 MB']"
6,"INFO storage.MemoryStore : Block broadcast_5_piece186 stored as bytes in memory ( estimated size 4.0 MB , free 623.0 MB )",0d8b6b74,"INFO storage.MemoryStore : Block <*> stored as <*> in memory ( estimated size <*> <*> , free <*> <*> )","['broadcast_5_piece186', 'bytes', '4.0 MB', '623.0 MB']"
7,Update row : 319107,4765f85a,Update row : <*>,['319107']
8,Update row : 382930,4765f85a,Update row : <*>,['382930']
9,"INFO MemoryStore : Block broadcast_4_piece226 stored as bytes in memory ( estimated size 4.0 MB , free 908.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece226', '908.2 MB']"
10,"INFO BlockManagerInfo : Added broadcast_4_piece227 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.6 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece227', '10.10.34.37', '48910', '4.0', '35.6']"
11,"INFO MemoryStore : Block broadcast_4_piece229 stored as bytes in memory ( estimated size 4.0 MB , free 920.2 MB )",56b182f4,"INFO MemoryStore : Block <*> stored as bytes in memory ( estimated size 4.0 MB , free <*> <*> )","['broadcast_4_piece229', '920.2 MB']"
12,"INFO BlockManagerInfo : Added broadcast_4_piece231 in memory on 10.10.34.37 : 48910 ( size : 4.0 MB , free : 35.5 GB )",5e44bbe3,"INFO BlockManagerInfo : Added <*> in memory on <*> : <*> ( size : <*> MB , free : <*> GB )","['broadcast_4_piece231', '10.10.34.37', '48910', '4.0', '35.5']"
